edgeID;source;target;weight;tag
0;aol;imdb;2;doubleclick.net | twitter.com
1;dose;guff;1;scorecardresearch.com
2;urbandictionary;topix;16;adform.net | adgrx.com | bidswitch.net | bluekai.com | doubleclick.net | dpclk.com | gwallet.com | media6degrees.com | quantserve.com | rfihub.com | ru4.com | rubiconproject.com | sitescout.com | tapad.com | tubemogul.com | w55c.net
3;aol;sbnation;17;adadvisor.net | adsrvr.org | adtechus.com | advertising.com | agkn.com | bluekai.com | casalemedia.com | contextweb.com | criteo.com | demdex.net | dotomi.com | doubleclick.net | everesttech.net | mediaplex.com | nexac.com | rfihub.com | univide.com
4;pinterest;eonline;2;facebook.com | pinterest.com
5;healthline;cnn;2;agkn.com | optimizely.com
6;opposingviews;brainjet;1;scorecardresearch.com
7;theblaze;southwest;1;advertising.com
8;microsoft;photobucket;2;bluekai.com | google.com
9;weather;yellowpages;6;advertising.com | mathtag.com | openx.net | optimizely.com | rfihub.com | turn.com
10;wayfair;nydailynews;11;adsymptotic.com | adtechus.com | bluekai.com | btrll.com | dotomi.com | doubleclick.net | liverail.com | openx.net | rubiconproject.com | rundsp.com | turn.com
11;whitepages;webmd;1;turn.com
12;topix;usps;3;bizographics.com | chango.com | turn.com
13;ask;tmz;8;adadvisor.net | agkn.com | criteo.com | exelator.com | krxd.net | nexac.com | pubmatic.com | rlcdn.com
14;walmart;ijreview;1;tubemogul.com
15;aol;deviantart;4;adtechus.com | casalemedia.com | doubleclick.net | pubmatic.com
16;topix;instructables;3;facebook.com | rubiconproject.com | scorecardresearch.com
17;nytimes;glassdoor;2;rlcdn.com | scorecardresearch.com
18;wikia;nytimes;8;agkn.com | btrll.com | krxd.net | quantserve.com | rfihub.com | rubiconproject.com | scorecardresearch.com | w55c.net
19;godaddy;southwest;1;advertising.com
20;amazon;whitepages;4;amazon-adsystem.com | facebook.com | openx.net | rubiconproject.com
21;answers;city-data;1;quantserve.com
22;amazon;theblaze;2;openx.net | rubiconproject.com
23;nydailynews;qpolitical;14;advertising.com | agkn.com | bluekai.com | btrll.com | chango.com | collective-media.net | crwdcntrl.net | demdex.net | liverail.com | media6degrees.com | revsci.net | rubiconproject.com | spotxchange.com | turn.com
24;buzzfeed;conservativetribune;1;tubemogul.com
25;yelp;aol;11;adsrvr.org | advertising.com | agkn.com | bluekai.com | btrll.com | rfihub.com | ru4.com | spotxchange.com | tapad.com | tubemogul.com | turn.com
26;microsoft;nydailynews;1;bluekai.com
27;bustle;nytimes;1;krxd.net
28;vimeo;mic;1;quantserve.com
29;linkedin;photobucket;1;imrworldwide.com
30;conservativetribune;instructables;1;facebook.com
31;wikia;healthline;5;adsrvr.org | agkn.com | optimizely.com | quantserve.com | rubiconproject.com
32;wordpress;uproxx;1;wordpress.com
33;wikia;usmagazine;3;agkn.com | krxd.net | quantserve.com
34;vimeo;city-data;1;quantserve.com
35;adobe;eonline;2;demdex.net | quantserve.com
36;adobe;webmd;1;tapad.com
37;mic;chase;1;doubleclick.net
38;microsoft;blogspot;1;google.com
39;opposingviews;deviantart;6;adtechus.com | bidswitch.net | casalemedia.com | openx.net | quantserve.com | scorecardresearch.com
40;eonline;lifehacker;3;adadvisor.net | agkn.com | krxd.net
41;godaddy;weather;6;advertising.com | convertro.com | godaddy.com | mathtag.com | rlcdn.com | turn.com
42;conservativetribune;mapquest;1;bidswitch.net
43;babycenter;cnn;1;imrworldwide.com
44;answers;healthline;1;quantserve.com
45;microsoft;wikia;1;bluekai.com
46;vimeo;uproxx;2;google.com | quantserve.com
47;examiner;deadspin;2;krxd.net | mathtag.com
48;people;goodreads;1;quantserve.com
49;twitter;imgur;1;twitter.com
50;usmagazine;legacy;1;quantserve.com
51;urbandictionary;healthline;3;doubleclick.net | quantserve.com | rubiconproject.com
52;whitepages;thechive;17;adsrvr.org | adtechus.com | advertising.com | bidswitch.net | bluekai.com | chango.com | dotomi.com | eqads.com | facebook.com | media6degrees.com | openx.net | revsci.net | rfihub.com | rlcdn.com | rubiconproject.com | sitescout.com | turn.com
53;mozilla;thechive;1;optimizely.com
54;fandango;ibtimes;1;google.com
55;fandango;thetiebar;1;rlcdn.com
56;buzzfeed;aol;3;agkn.com | demdex.net | tubemogul.com
57;glassdoor;thoughtcatalog;1;bluekai.com
58;about;thoughtcatalog;1;parsely.com
59;vox;chase;2;doubleclick.net | rlcdn.com
60;buzzfeed;gawker;1;agkn.com
61;amazon;photobucket;6;amazon-adsystem.com | doubleclick.net | facebook.com | liverail.com | openx.net | rubiconproject.com
62;youtube;nytimes;1;scorecardresearch.com
63;aol;lifehacker;3;adadvisor.net | agkn.com | criteo.com
64;bustle;imdb;1;twitter.com
65;nydailynews;goodreads;1;quantserve.com
66;mic;uproxx;3;crwdcntrl.net | insightexpressai.com | quantserve.com
67;usmagazine;nydailynews;4;agkn.com | imrworldwide.com | quantserve.com | twitter.com
68;yelp;amazon;1;rubiconproject.com
69;photobucket;qpolitical;23;4dsply.com | adadvisor.net | advertising.com | agkn.com | bluekai.com | btrll.com | casalemedia.com | collective-media.net | crwdcntrl.net | demdex.net | liverail.com | media6degrees.com | nexac.com | pubmatic.com | revsci.net | rfihub.com | rlcdn.com | ru4.com | rubiconproject.com | smaato.net | spotxchange.com | tapad.com | yahoo.com
70;answers;nbcnews;1;quantserve.com
71;ask;qpolitical;13;adadvisor.net | addthis.com | advertising.com | agkn.com | bluekai.com | btrll.com | casalemedia.com | crwdcntrl.net | nexac.com | pubmatic.com | rlcdn.com | rubiconproject.com | spotxchange.com
72;microsoft;wayfair;3;bing.com | bluekai.com | google.com
73;nbcnews;tmz;12;2o7.net | adadvisor.net | agkn.com | cloudflare.com | exelator.com | krxd.net | quantserve.com | rlcdn.com | serving-sys.com | tubemogul.com | twitter.com | zergnet.com
74;ask;sbnation;16;adadvisor.net | advertising.com | agkn.com | bluekai.com | casalemedia.com | contextweb.com | criteo.com | crwdcntrl.net | exelator.com | krxd.net | mathtag.com | mookie1.com | nexac.com | rlcdn.com | sonobi.com | switchads.com
75;thoughtcatalog;lifehacker;1;skimresources.com
76;wikia;linkedin;1;scorecardresearch.com
77;yelp;examiner;21;active-agent.com | adition.com | adsrvr.org | adsymptotic.com | advertising.com | bluekai.com | btrll.com | chango.com | mathtag.com | revsci.net | rfihub.com | ru4.com | rundsp.com | simpli.fi | sitescout.com | tapad.com | tidaltv.com | tubemogul.com | turn.com | w55c.net | yahoo.com
78;wordpress;wayfair;1;doubleclick.net
79;bustle;photobucket;2;facebook.com | twitter.com
80;gawker;cnn;3;agkn.com | criteo.com | krxd.net
81;sbnation;att;3;bluekai.com | demdex.net | doubleclick.net
82;usmagazine;chase;1;rlcdn.com
83;whitepages;gawker;4;criteo.com | rlcdn.com | rubiconproject.com | yahoo.com
84;city-data;qpolitical;3;adadvisor.net | agkn.com | rlcdn.com
85;urbandictionary;stackexchange;1;quantserve.com
86;conservativetribune;southwest;1;tubemogul.com
87;stackexchange;topix;1;quantserve.com
88;photobucket;youngcons;7;4dsply.com | adform.net | advertising.com | collective-media.net | crwdcntrl.net | pubmatic.com | revsci.net
89;conservativetribune;brainjet;1;google.com
90;conservativetribune;eonline;7;cloudflare.com | facebook.com | google.com | mathtag.com | pubmatic.com | quantserve.com | tubemogul.com
91;aol;thetiebar;2;dotomi.com | twitter.com
92;live;sbnation;1;demdex.net
93;twitter;vox;2;google.com | twitter.com
94;paypal;blogger;1;youtube.com
95;whitepages;babycenter;2;advertising.com | revsci.net
96;mic;photobucket;3;crwdcntrl.net | doubleclick.net | quantserve.com
97;adobe;ask;2;exelator.com | nexac.com
98;mic;topix;6;bidswitch.net | crwdcntrl.net | doubleclick.net | insightexpressai.com | quantserve.com | serving-sys.com
99;buzzfeed;sbnation;2;agkn.com | demdex.net
100;amazon;conservativetribune;3;contextweb.com | doubleclick.net | facebook.com
101;usmagazine;walmart;3;agkn.com | nexac.com | rlcdn.com
102;pinterest;fandango;1;facebook.com
103;vimeo;zergnet;1;quantserve.com
104;aol;bustle;1;twitter.com
105;about;healthline;1;optimizely.com
106;uproxx;usps;1;turn.com
107;usps;webmd;1;turn.com
108;linkedin;tmz;2;imrworldwide.com | scorecardresearch.com
109;ebay;fandango;1;mathtag.com
110;vimeo;goodreads;1;quantserve.com
111;amazon;nytimes;2;liverail.com | rubiconproject.com
112;aol;topix;26;adadvisor.net | addthis.com | adsrvr.org | advertising.com | agkn.com | atwola.com | bluekai.com | btrll.com | casalemedia.com | contextweb.com | criteo.com | doubleclick.net | jumptap.com | liverail.com | media6degrees.com | nexac.com | pubmatic.com | rfihub.com | ru4.com | spotxchange.com | tapad.com | tubemogul.com | turn.com | twitter.com | univide.com | wtp101.com
113;topix;southwest;3;advertising.com | tidaltv.com | tubemogul.com
114;urbandictionary;sbnation;9;adform.net | bidswitch.net | bluekai.com | doubleclick.net | everesttech.net | google.com | quantserve.com | rfihub.com | simpli.fi
115;inquisitr;chase;5;bing.com | demdex.net | doubleclick.net | rlcdn.com | ru4.com
116;tmz;deviantart;4;adnxs.com | pubmatic.com | quantserve.com | scorecardresearch.com
117;godaddy;imgur;1;twitter.com
118;bustle;yellowpages;2;facebook.com | twitter.com
119;blogger;nydailynews;1;youtube.com
120;usmagazine;mic;1;quantserve.com
121;sbnation;chase;5;demdex.net | doubleclick.net | rlcdn.com | undertone.com | yahoo.com
122;linkedin;nydailynews;1;imrworldwide.com
123;whitepages;ask;5;advertising.com | bluekai.com | criteo.com | rlcdn.com | rubiconproject.com
124;wikia;inquisitr;12;adsrvr.org | bluekai.com | crwdcntrl.net | demdex.net | gwallet.com | mathtag.com | quantserve.com | rfihub.com | tidaltv.com | tubemogul.com | turn.com | w55c.net
125;amazon;chase;1;doubleclick.net
126;amazon;deviantart;3;doubleclick.net | openx.net | rubiconproject.com
127;wayfair;gawker;2;rubiconproject.com | yahoo.com
128;google;vimeo;1;google.com
129;ask;examiner;13;addthis.com | advertising.com | bluekai.com | btrll.com | crwdcntrl.net | exelator.com | krxd.net | mathtag.com | mookie1.com | nexac.com | pubmatic.com | rlcdn.com | sonobi.com
130;facebook;glassdoor;1;facebook.com
131;usmagazine;opposingviews;2;nexac.com | quantserve.com
132;opposingviews;topix;15;adform.net | advertising.com | bidswitch.net | bluekai.com | bnmla.com | casalemedia.com | chango.com | iasds01.com | mathtag.com | nexac.com | openx.net | quantserve.com | revsci.net | scorecardresearch.com | tribalfusion.com
133;wikia;zergnet;2;quantserve.com | scorecardresearch.com
134;photobucket;tmz;14;adadvisor.net | agkn.com | amazon-adsystem.com | exelator.com | facebook.com | google.com | imrworldwide.com | media6degrees.com | nexac.com | pubmatic.com | quantserve.com | rlcdn.com | simpli.fi | twitter.com
135;buzzfeed;legacy;1;scorecardresearch.com
136;yelp;qpolitical;14;adsrvr.org | advertising.com | agkn.com | bluekai.com | btrll.com | chango.com | revsci.net | rfihub.com | ru4.com | rubiconproject.com | spotxchange.com | tapad.com | turn.com | yahoo.com
137;nydailynews;uproxx;5;crwdcntrl.net | imrworldwide.com | quantserve.com | turn.com | youtube.com
138;nbcnews;att;1;doubleclick.net
139;theblaze;tmz;6;3lift.com | adnxs.com | agkn.com | criteo.com | taboola.com | youtube.com
140;ask;dose;5;agkn.com | exelator.com | krxd.net | pubmatic.com | rlcdn.com
141;godaddy;gawker;1;rlcdn.com
142;sbnation;goodreads;2;mediaplex.com | quantserve.com
143;mic;zergnet;1;quantserve.com
144;youtube;zergnet;1;scorecardresearch.com
145;vox;lifehacker;5;adadvisor.net | agkn.com | amazon-adsystem.com | krxd.net | skimresources.com
146;wordpress;people;1;doubleclick.net
147;fandango;glassdoor;3;facebook.com | google.com | rlcdn.com
148;wikia;thechive;10;adsrvr.org | agkn.com | bluekai.com | optimizely.com | quantserve.com | rfihub.com | rubiconproject.com | scorecardresearch.com | turn.com | w55c.net
149;nytimes;brainjet;1;scorecardresearch.com
150;thetiebar;tmz;2;rlcdn.com | twitter.com
