Id;class
google;Search Engines and Portals
youtube;Streaming Media
facebook;Social Networking
msn;Search Engines and Portals
yelp;Reference
bing;Search Engines and Portals
twitter;Social Networking
amazon;Shopping
buzzfeed;Entertainment
answers;Reference
ebay;Auction
yahoo;Search Engines and Portals
aol;Search Engines and Portals
pinterest;Personal Websites and Blogs
microsoft;Information Technology
wikipedia;Reference
wikia;Entertainment
live;Search Engines and Portals
diply;Entertainment
paypal;Finance and Banking
about;Reference
littlethings;Entertainment
godaddy;Web Hosting
linkedin;Business
wordpress;Personal Websites and Blogs
blogger;Personal Websites and Blogs
adobe;Information Technology
whitepages;Reference
weather;News and Media
urbandictionary;Adult Materials
craigslist;Shopping
blogspot;Personal Websites and Blogs
usmagazine;Entertainment
walmart;Shopping
wayfair;Shopping
ask;Search Engines and Portals
nydailynews;News and Media
legacy;News and Media
bustle;Entertainment
vimeo;Streaming Media
stackexchange;Information Technology
sbnation;Sports
nytimes;News and Media
mozilla;Information Technology
conservativetribune;News and Media
imgur;File Sharing and Storage
mic;News and Media
uproxx;Entertainment
opposingviews;Newsgroups and Message Boards
inquisitr;News and Media
wellsfargo;Finance and Banking
zergnet;Entertainment
fandango;Entertainment
thetiebar;Shopping
ijreview;News and Media
babycenter;Health and Wellness
dose;News and Media
healthline;Health and Wellness
go;Search Engines and Portals
eonline;Entertainment
mapquest;Reference
people;Entertainment
apple;Information Technology
goodreads;Arts and Culture
photobucket;File Sharing and Storage
city-data;Reference
glassdoor;Job Search
theblaze;News and Media
examiner;News and Media
topix;News and Media
nbcnews;News and Media
instructables;Reference
ibtimes;News and Media
guff;Entertainment
distractify;Entertainment
qpolitical;News and Media
tmz;Entertainment
usps;Business
brainjet;Entertainment
imdb;Entertainment
gawker;Entertainment
moviepilot;Entertainment
vox;News and Media
cnn;News and Media
youngcons;News and Media
thoughtcatalog;Personal Websites and Blogs
chase;Finance and Banking
thechive;Adult Materials
deadspin;Sports
hubpages;Newsgroups and Message Boards
americanoverlook;Political Organizations
ups;Business
southwest;Travel
deviantart;Arts and Culture
webmd;Health and Wellness
lifehacker;Information Technology
quizlet;Education
reddit;Newsgroups and Message Boards
yellowpages;Reference
att;Information Technology
